counter_id,measurement_id_and_name,measurement_id,measurement_name,measurement_description,measurement_network_profile,measurement_nw_aggregation_levels,network_element_name,netact_name,product_type,description,updated,logical_type,trigger_type,sampling_interval,unit,range,example_values,dependencies_with_other_counters,operability_class,related_to_feature,related_to_standard,3gpp_measurement_name,3gpp_measurement_type,exceptions_to_related_standard,used_from_release,filter,is_archived,logical_type_upper
001009,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,SUCCESS TCH SEIZURE FOR NORMAL ASSIGNMENT,TCH_NORM_SEIZ,BSC,Number of successful requests for a TCH in a normal assignment.,"When the RRM allocates a TCH as a response to a TCH request in a call attempt.

See figures:
- Basic call with counters
- Basic call with priority subscriber
- Successful TCH queuing
- Successful forced release
- Successful forced handover",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001010,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TCH REQUEST SUCCESS AND UNSUCCESS,TCH_REQUEST,BSC,Total number of requests for a TCH (successful and unsuccessful).,"When the RRM receives a request for a TCH either in a call or a handover attempt. 

See figures: 
- Basic call with counters 
- Basic call with priority subscriber 
- FACCH call setup due to SDCCH congestion with counters 
- FACCH call setup because of SDCCH congestion 
- Basic call, no free TCH and queuing or directed retry is not allowed 
- Successful TCH queuing 
- Basic call, no free TCHs, unsuccessful queuing and directed retry not activated 
- TCH assignment failure with cause switch_circuit_pool, queuing and directed retry not allowed 
- Unsuccessful trunk reservation 
- Successful internal intra-cell handover 
- Internal intra-cell HO, successful TCH queuing 
- Unsuccessful underlay overlay internal intra-cell handover, queuing not allowed 
- Internal intra-cell handover, unsuccessful TCH queuing 
- Internal directed retry 
- Successful internal inter-cell handover 
- Successful external handover, target 
- Successful forced release 
- Unsuccessful forced release 
- Unsuccessful forced release with external handover 
- Successful forced handover 
- Unsuccessful forced handover 
- Unsuccessful forced handover with external handover",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
007010,007: Availability,007,Availability,Availability measurement (M007) registers information on the restart and the disconnection times of the computer units. The information is collected for each computer unit in the BSC in question.,"BSC,UNITTYPE-UID",NBR,PROCESS RESTARTS,PROCESS_RESTARTS,BSC,Number of the restarts of the program blocks of the unit.,,Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
003061,003: Resource Access,003,Resource Access,"Resource Access (M003) Measurement registers information on all common control channels (CCCH) of the base station controller. The recorded items of data comprise the number of messages sent to the Abis interface. The messages are sorted according to message type, average load on control channels, and the number of traffic channel seizures for mobile originating (MOC) and terminating calls (MTC). Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS-TRX,SEG,TSL,TTP",BSC - BTS,SPARE003061,SPARE003061,BSC,Spare,,,,,,,,,,,,,,,S10.5,1,0.0,
001011,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TCH REQUEST REJECTED DUE TO LACK,TCH_REQ_REJ_LACK,BSC,"Number of requests for TCHs that are rejected because there are no radio resources available. All kinds of procedures used to request a TCH are considered, that is, the TCH is rejected if there is no requested resources available for assignments using the normal TCH assignment procedure and assignments for all kinds of (incoming) handovers. This counter is also updated when a request for TCH is rejected because of a mismatch between the types of the requested channel and the A interface circuit.

See also counter 004079.","When the RRM has no TCHs available for either call or HO attempt
requests, or the RRM changes the A interface circuit pool before the TCH allocation.
This counter may be updated immediately after a TCH request or, in case of queuing,when the queuing timer expires.
NOTE! In case of DR this counter is updated as follows:
1) When a call is removed from the queue because of a DR attempt, this counter is
NOT updated on the SOURCE side, instead counter 001173 is updated.
2) If queuing is not used or the queuing timer expires before a DR attempt, this
counter is updated on the SOURCE side.
3) On the TARGET side, this counter is updated in case of congestion (blocking).
See figures:
- Basic call without counters
- Basic call, no free TCHs, unsuccessful queuing and directed retry not activated
- TCH assignment failure with cause switch_circuit_pool, queuing and directed retry not allowed
- Unsuccessful underlay overlay internal intra-cell handover, queuing not allowed
- Internal intra-cell handover, unsuccessful TCH queuing
- Unsuccessful forced release
- Unsuccessful forced release with external handover
- Unsuccessful forced handover",Sum,Event,,Integer number,,,004079 (CAUSE DIR RETRY),,,,,,,S1,1,0.0,SUM
001012,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS ENDED DUE TO BSS PROBLEM,TCH_BSS_FAIL,BSC,"Number of TCH transactions ended because of BSS problems. 

Impact: See descriptions of counters 001045, 001046, 001047 and 001051.","When one of the counters 001045, 001046, 001047, or 001051 is updated. This counter represents their sum. 

See figures: 
- Unsuccessful TCH activation, timer expires while waiting for CHANNEL_ACTIVATION_ACK message 
- TCH assignment failure, MSC sends CLEAR_COMMAND message 
- TRX or TSL is blocked with different causes during a call 
- Unsuccessful internal intra-cell handover, timer expires while waiting for CHANNEL_ACTIVATION_ACK message 
- Unsuccessful external handover, source BSC, timer expires while waiting for CLEAR_COMMAND message 
- Unsuccessful external handover, MS sends a handover failure 
- Dropped call between ASSIGNMENT COMPLETE and DISCONNECT",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001013,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS ENDED DUE RADIO FAIL,TCH_RADIO_FAIL,BSC,"Number of TCH transactions ended because of a radio failure.

Impact: Call cleared","When a TCH transaction ends because of a radio failure and the RRM releases the TCH. This counter is typical in connection with coverage problems. ERROR INDICATION is sent by the BTS to the BSC in the following cases: 
- Sequence error in a received message (the case where retransmission is not possible). 
- Timer T200 has expired N200 +1 times (MS does not respond any more). 
- Unsolicited DM response when link is established. 

This counter is updated in call phases 1-8 or 15 only.

See figures: 
- Timer T3107 expires while waiting for ASSIGNMENT_COMPLETE message 
- Dropped call between ASSIGNMENT COMPLETE and DISCONNECT",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001014,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS ENDED DUE SOURCE CHANNEL FAIL DURING HO,TCH_RF_OLD_HO,BSC,"Number of TCH transactions ended because of a radio failure on the source channel during a handover attempt.

Impact: HO failure and call cleared","When a TCH transaction ends because of a radio failure (HO failure) on the source channel during a handover attempt. 

This counter is updated in call phases 9-11 only.

See figure Unsuccessful internal intra-cell handover, timer expires on the source channel, call cleared.",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001022,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,AVE QUEUE TIME OF HO ATTEMPTS,AVE_Q_TIM_HO_ATT,BSC,"The average time for which HO attempts are kept in the queue (the unit of the value is 10 ms). 

In a successful case counters 001008 and 001023 are updated along with this counter. In an unsuccessful case counters 001023, 001025 and 001068 are updated along with this counter.","When a TCH request for a handover attempt is removed from the queue (both in a successful and unsuccessful case). 

See figures: 
- Internal intra-cell HO, successful TCH queuing 
- Internal intra-cell handover, unsuccessful TCH queuing 
- Internal directed retry",Sum,Duration,,10 ms,,,"001008 (SUCCESS TCH SEIZURE FOR HO)
001023 (QUEUE DENOMINATOR 3)
001025 (NOT SERVED QUEUED HO ATTEMPTS)
001068 (QUE ALL HO REQ FAIL)",,,,,,,S1,1,0.0,SUM
001015,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,TRANSACTIONS ENDED DUE TARGET CHANNEL FAIL,TCH_RF_NEW_HO,BSC,"A TCH transaction ends because of a radio failure (HO failure) on the target channel during a handover attempt.

Counter 001088 is also updated along with this counter if the MS fails to return to the old channel during an inter-BSC handover.

Impact: HO failure, the call may possibly be cleared

Reason for the impact: Since the MS cannot access the target channel, a radio failure occurs. It may be caused by missing indication of call establishment, missing detection of HO, missing indication of the HO completed or corrupted messages related to HO.","When a TCH transaction ends because of a radio failure on the target channel during a handover attempt.

This counter is updated in call phases 12-14 only.",Sum,Event,,Integer number,,,001088 (TCH A IF FAIL SOURCE),,,,,,,S1,1,0.0,SUM
007009,007: Availability,007,Availability,Availability measurement (M007) registers information on the restart and the disconnection times of the computer units. The information is collected for each computer unit in the BSC in question.,"BSC,UNITTYPE-UID",NBR,ADM RESTARTS,ADM_RESTARTS,BSC,Number of the administrative restarts of the unit.,,Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001017,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,HANDOVER ATTEMPTS IN THE QUEUE,TCH_QD_HO_ATT,BSC,"Number of HO attempts set in the queue for a TCH.

Counter 001010 is updated along with this counter.","When the RRM sets a TCH request for a handover attempt in the queue since it has no TCHs of the requested kind available.

See figures:
- Internal intra-cell HO, successful TCH queuing
- Internal intra-cell handover, unsuccessful TCH queuing
- Internal directed retry",Sum,Event,,Integer number,,,001010 (TCH REQUEST SUCCESS AND UNSUCCESS),,,,,,,S1,1,0.0,SUM
001018,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,AVE QUEUE LENGTH FOR CHANNEL SEIZURE REQUEST,AVE_Q_SEIZ_REQ,BSC,Average number of requests for channel seizure in the queue.,"Every 20 seconds, as averaging takes place once in the measurement period. The sample counter is updated when a request is set in the queue or removed from it. Updated only for the normal coverage area.

See figure Average counter updating.",Sum,Sample,20 s,Integer number,,,,,• BSS21277: 105km Extended Cell CS,,,,,S1,1,0.0,SUM
001019,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,QUEUE DENOMINATOR 1,QUEUE_DENOM1,BSC,Denominator of the average number of requests for channel seizure (always > 0).,,Sum,Sample,20 s,Integer number,,,,,,,,,,S1,1,0.0,SUM
001020,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,AVE QUEUE TIME OF CALL ATTEMPTS,AVE_Q_TIM_CALL_ATT,BSC,"The average time for which call attempts are kept in the queue (the unit of the value is 10 ms).

In a successful case counters 001009 and 001021 are updated along with this counter. In an unsuccessful case counters 001021, 001024 and 001060 are updated along with this counter.","When a TCH request for a call attempt is removed from the queue (both in a successful and unsuccessful case). 

See figures: 
- Successful TCH queuing 
- Basic call, no free TCHs, unsuccessful queuing and directed retry not activated",Sum,Duration,,10 ms,,,"001009 (SUCCESS TCH SEIZURE FOR NORMAL ASSIGNMENT)
001021 (QUEUE DENOMINATOR 2)
001024 (NOT SERVED QUEUED CALL ATTEMPTS)
001060 (QUE ALL ASSIGN REQ FAIL)",,,,,,,S1,1,0.0,SUM
001021,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,QUEUE DENOMINATOR 2,QUEUE_DENOM2,BSC,Denominator of the average time for which call attempts are kept in the queue (always > 0).,"See figures: 
- Successful TCH queuing 
- Basic call, no free TCHs, unsuccessful queuing and directed retry not activated",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001023,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,QUEUE DENOMINATOR 3,QUEUE_DENOM3,BSC,Denominator of the average time for which HO attempts are kept in the queue (always > 0).,"See figures:
- Internal intra-cell HO, successful TCH queuing
- Internal intra-cell handover, unsuccessful TCH queuing
- Internal directed retry",Sum,Event,,Integer number,,,,,,,,,,S1,1,0.0,SUM
001024,001: Traffic,001,Traffic,"BSC traffic measurement (M001) registers information related to the stand alone dedicated control channels (SDCCH) and traffic channels (TCH). The BSC traffic measurement counters are divided into different classes. There are counters regarding the number of attempts to seize TCHs and SDCCHs, successful calls, lengths of the queue, the reasons for Failures and GPRS territory counters. This measurement collects one set of results for each BTS. Signalling charts are drawn with the accuracy of message interface.","BSC-BCF-BTS,SEG,TTP",BSC - BTS,NOT SERVED QUEUED CALL ATTEMPTS,UNSRV_QD_CALL_ATT,BSC,"Number of call attempts in the queue which were not served.

Counters 001020, 001021 and 001060 are updated along with this counter.","When a call attempt is removed from the queue because a timer expires, or the call attempt is substituted by another attempt of higher priority. NOTE! This counter is not updated in DR (neither in a successful or unsuccessful DR). 

See figure Basic call, no free TCHs, unsuccessful queuing and directed retry not activated.",Sum,Event,,Integer number,,,"001020 (AVE QUEUE TIME OF CALL ATTEMPTS)
001021 (QUEUE DENOMINATOR 2)
001060 (QUE ALL ASSIGN REQ FAIL)",,,,,,,S1,1,0.0,SUM
